Electricity_kWh,Generator_Diesel_L,Water_Consumption_kL,Waste_Generated_kg,College_Bus_Distance_km,Sewage_Generated_kL,Temperature_C,Holiday,Scope1_Emissions,Scope2_Emissions,Scope3_Emissions,Total_Emissions
27937.39,96.56,1122.69,718.76,182.79,1126.89,39.9,No,409.03,19883.04,1365.64,21657.71
19987.57,68.69,943.81,503.63,132.26,816.25,35.0,Yes,292.81,14225.15,956.9,15474.86
28324.19,97.61,1307.78,627.23,188.38,1103.1,35.3,No,416.43999999999994,20158.33,1191.74,21766.51
29366.68,87.7,1249.45,590.65,185.42,1060.72,24.5,No,387.46,20900.27,1122.23,22409.96
27406.26,87.8,1154.41,643.98,192.96,1138.31,30.1,No,393.91,19505.04,1223.56,21122.51
29095.37,96.98,1216.99,718.94,165.71,1103.96,25.5,No,396.12,20707.17,1365.99,22469.28
28810.47,96.49,1317.91,608.06,191.11,1067.16,23.0,No,415.67999999999995,20504.41,1155.31,22075.4
29390.97,92.24,1248.86,720.78,171.68,1143.06,25.2,No,388.32,20917.55,1369.48,22675.35
20636.71,67.11,821.1,509.5,130.75,830.96,31.3,Yes,287.33,14687.15,968.05,15942.53
29382.2,93.65,1138.88,702.47,173.01,1184.98,27.3,No,393.19,20911.31,1334.69,22639.19
27955.93,99.28,1219.19,592.35,193.83,1171.48,38.2,No,425.4,19896.24,1125.46,21447.1
27313.02,101.9,1150.12,616.11,172.44,1063.8,35.7,No,414.84,19438.68,1170.61,21024.13
28564.96,91.35,1176.51,708.79,173.33,1145.0,39.5,No,387.29999999999995,20329.68,1346.7,22063.68
28465.84,99.79,1102.26,635.39,178.89,1095.76,25.1,No,414.49,20259.14,1207.24,21880.87
28074.9,91.51,1298.55,648.23,170.72,1011.07,34.5,No,385.58000000000004,19980.91,1231.64,21598.13
20014.48,73.64,779.44,489.73,125.53,779.38,37.2,Yes,300.55,14244.31,930.49,15475.35
27911.97,98.04,1221.92,705.22,165.03,1075.7,31.4,No,398.4,19864.95,1339.92,21603.27
28779.22,96.7,1152.97,698.74,170.17,1186.51,31.8,No,399.04,20482.17,1327.61,22208.82
28515.47,90.51,1087.0,700.08,171.75,1014.05,34.1,No,383.75,20294.46,1330.15,22008.36
28537.29,98.65,1157.17,602.92,185.92,1068.19,30.7,No,417.21000000000004,20309.99,1145.55,21872.75
28470.19,94.17,1312.07,712.83,162.24,1079.37,33.2,No,385.74,20262.23,1354.38,22002.35
29160.86,94.42,1300.87,722.57,166.79,1084.12,25.1,No,390.15,20753.78,1372.88,22516.81
20123.49,63.4,882.1,446.06,116.81,822.16,38.1,Yes,265.93,14321.89,847.51,15435.33
28656.92,101.33,1206.68,711.03,173.27,1030.54,37.0,No,413.99,20395.13,1350.96,22160.08
27738.8,96.39,1174.33,625.81,180.62,1043.0,27.3,No,406.79999999999995,19741.7,1189.04,21337.54
29193.95,99.27,1158.46,607.9,194.16,1127.12,33.7,No,425.64,20777.33,1155.01,22357.98
28895.1,93.87,1231.18,634.99,191.69,1001.52,36.7,No,409.14,20564.64,1206.48,22180.26
28676.1,93.31,1288.48,725.67,192.62,1025.67,27.4,No,408.4,20408.78,1378.77,22195.95
28120.1,91.96,1137.23,674.19,164.03,1030.37,30.4,No,381.28,20013.08,1280.96,21675.32
19598.21,68.81,802.93,448.4,134.93,757.72,31.1,Yes,295.32,13948.05,851.96,15095.33
27262.42,100.0,1209.52,651.46,193.12,1067.52,32.4,No,426.74,19402.66,1237.77,21067.17
29049.13,89.45,1200.22,701.01,166.42,1109.76,20.5,No,376.53,20674.27,1331.92,22382.72
30229.07,90.38,1105.03,695.33,171.62,1115.07,24.0,No,383.28999999999996,21514.03,1321.13,23218.45
29730.3,95.52,1145.73,620.19,173.93,1177.07,18.5,No,398.96000000000004,21159.05,1178.36,22736.37
28107.6,94.92,1285.63,698.14,166.1,1180.78,23.7,No,390.91999999999996,20004.18,1326.47,21721.57
28817.79,92.46,1120.28,600.3,190.02,1180.33,30.9,No,403.99,20509.62,1140.57,22054.18
20337.31,70.57,878.55,506.69,139.57,799.85,30.7,Yes,303.86,14474.06,962.71,15740.63
28162.73,93.08,1131.79,624.75,173.31,1022.32,21.4,No,391.90999999999997,20043.41,1187.02,21622.34
30236.92,90.64,1194.56,611.48,190.54,1056.09,22.3,No,399.53999999999996,21519.62,1161.81,23080.97
30293.43,96.41,1108.91,688.6,193.97,1135.97,25.3,No,417.82,21559.83,1308.34,23285.99
29805.41,94.01,1270.42,664.89,176.39,1187.87,20.7,No,396.94,21212.51,1263.29,22872.74
28054.79,98.24,1095.02,656.68,178.52,997.79,18.5,No,410.02,19966.59,1247.69,21624.3
28376.24,100.41,1319.12,608.85,183.47,1017.03,21.9,No,419.91,20195.37,1156.82,21772.1
21254.28,72.43,879.53,518.16,125.72,837.84,26.2,Yes,297.45000000000005,15126.67,984.5,16408.62
28032.84,102.34,1148.37,691.45,177.34,1065.43,30.1,No,420.03999999999996,19950.97,1313.76,21684.77
29138.51,97.65,1180.88,663.85,187.45,1111.18,25.3,No,415.78,20737.88,1261.32,22414.98
28933.09,97.34,1134.17,673.07,184.35,1079.18,25.4,No,412.40999999999997,20591.68,1278.83,22282.92
30290.01,90.9,1302.98,697.22,167.72,1070.15,36.7,No,381.48,21557.4,1324.72,23263.6
28563.12,101.55,1253.97,599.45,185.95,1009.03,38.2,No,425.0,20328.37,1138.95,21892.32
29526.69,95.43,1081.74,668.5,181.11,1086.63,24.7,No,404.62,21014.15,1270.15,22688.92
21453.42,73.26,841.37,519.14,126.96,842.48,21.3,Yes,300.7,15268.4,986.37,16555.47
29258.29,90.23,1117.63,603.04,174.09,993.66,31.3,No,384.91999999999996,20823.12,1145.78,22353.82
28080.0,92.28,1130.53,678.04,170.71,995.27,21.6,No,387.63,19984.54,1288.28,21660.45
28901.1,93.22,1295.31,711.04,166.91,1025.13,34.3,No,387.03,20568.91,1350.98,22306.92
28733.72,95.23,1306.57,594.82,169.9,1130.56,23.4,No,394.88,20449.79,1130.16,21974.83
28679.52,99.57,1145.71,633.76,162.78,1055.78,34.0,No,400.66,20411.21,1204.14,22016.01
29090.2,91.75,1153.07,676.53,182.86,1126.79,28.6,No,396.2,20703.5,1285.41,22385.11
21336.98,73.01,872.99,493.6,136.13,808.87,36.7,Yes,307.57,15185.53,937.84,16430.94
28440.75,89.51,1283.6,656.89,163.25,993.97,18.3,No,374.08,20241.28,1248.09,21863.45
29758.47,90.31,1253.39,714.92,190.17,1184.46,19.9,No,398.35,21179.1,1358.35,22935.8
29537.7,87.89,1240.05,683.46,162.27,1107.25,29.8,No,368.94,21021.98,1298.57,22689.49
28984.97,87.64,1105.49,606.44,178.99,1071.16,24.4,No,382.01,20628.6,1152.24,22162.85
28450.66,93.41,1166.34,666.61,177.02,1005.95,22.7,No,395.85,20248.33,1266.56,21910.74
28171.56,87.9,1297.63,589.01,164.12,1136.5,22.0,No,370.48,20049.7,1119.12,21539.3
21216.7,72.48,784.29,474.71,132.58,722.97,37.9,Yes,303.23,15099.93,901.95,16305.11
28532.69,92.17,1183.87,625.59,168.97,1047.48,31.4,No,385.90999999999997,20306.72,1188.62,21881.25
29339.45,93.15,1272.1,668.18,162.59,1155.59,18.8,No,383.28999999999996,20880.89,1269.54,22533.72
28131.6,99.56,1276.29,663.02,176.78,1096.93,36.4,No,412.13,20021.26,1259.74,21693.13
28985.21,88.85,1135.28,714.11,164.52,1043.92,20.1,No,373.36,20628.77,1356.81,22358.94
29275.15,95.49,1120.87,597.8,191.54,1082.72,20.5,No,413.36,20835.12,1135.82,22384.3
28459.16,96.65,1211.93,668.32,176.96,1045.49,33.3,No,404.48,20254.38,1269.81,21928.67
20300.79,64.95,923.2,468.38,123.76,832.07,28.5,Yes,275.8,14448.07,889.92,15613.79
29916.48,93.35,1193.37,707.5,182.9,1145.42,37.9,No,400.52,21291.56,1344.25,23036.33
29396.53,88.13,1243.88,686.55,178.58,1038.09,21.0,No,382.98,20921.51,1304.44,22608.93
29112.99,94.82,1098.61,608.08,162.68,1006.72,30.1,No,387.84000000000003,20719.71,1155.35,22262.9
29167.72,92.52,1159.85,727.77,187.31,1018.17,32.8,No,401.91999999999996,20758.67,1382.76,22543.35
28311.81,101.48,1270.42,643.23,182.45,1040.97,30.3,No,421.94000000000005,20149.52,1222.14,21793.6
28746.32,87.99,1088.94,707.02,167.68,1066.26,36.6,No,373.64,20458.76,1343.34,22175.74
21234.9,65.21,808.22,499.33,132.79,800.45,20.5,Yes,283.90999999999997,15112.88,948.73,16345.52
29604.52,97.03,1094.38,726.08,176.76,1132.85,25.9,No,405.34000000000003,21069.54,1379.55,22854.43
29149.94,97.4,1238.32,712.97,167.44,1076.67,36.4,No,398.66999999999996,20746.01,1354.64,22499.32
29147.91,97.19,1313.54,675.58,184.77,1155.55,23.2,No,412.35,20744.57,1283.6,22440.52
28642.02,91.1,1212.13,599.15,184.46,1095.57,28.4,No,395.78,20384.53,1138.38,21918.69
